Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1968,5570,6150,5850,5970,6080,6170,6170,6010,5950,5840,5740,6010
1969,5740,5980,5920,6170,6790,6820,6710,6650,6430,6260,6210,6070
1970,5680,5740,5770,6070,6320,6260,6260,6090,6090,5950,6120,6120
1971,6120,5920,6150,6110,6230,6510,6200,6110,6070,6040,5980,6070
1972,6210,5920,6290,6400,6740,6790,6820,6680,6540,6620,6790,7100
1973,7050,6790,7210,7560,7530,7530,7440,7160,6880,6680,6740,6680
1974,6710,6820,7160,7560,7610,7420,7160,6880,6710,6460,6520,6620
1975,6850,6760,6760,7050,7050,7080,6910,6760,6910,6680,6680,6540
1976,6420,6590,7160,7360,7390,7080,7080,6790,6740,6570,6420,5960
1977,5610,5510,5850,6170,6570,6420,6320,6350,6400,6290,6210,6490
1978,6010,5990,6160,6650,6740,6820,6430,6350,6090,6090,5890,6050
1979,5760,5710,5960,6400,6680,6710,6540,6620,6540,6570,6460,6550
1980,6630,6260,6420,6910,6990,6990,6820,6910,6820,6620,6260,6150
1981,5820,5910,6050,6080,6480,6690,6540,6580,6600,6510,6430,6320
1982,6280,5940,6430,6580,6660,6870,6420,6370,6100,5990,6220,6400
1983,6400,6170,6200,6510,6930,6600,6750,6840,6630,6370,6470,6740
1984,6050,6260,6530,6750,6800,6830,6720,6580,6510,6330,6400,6400
1985,6310,5740,6850,7480,7470,7420,7030,6890,6800,6590,6930,7530
1986,6440,6750,7380,7330,7620,7740,7640,7330,7040,7320,7140,7440
1987,7320,6960,6910,7180,7100,6940,7010,6770,6650,6480,6210,6390
1988,6170,6110,6070,6200,6340,6110,5850,5970,5710,5740,5700,5690
1989,5720,5530,5320,5970,6170,6450,6230,6200,5930,5760,5930,5410
1990,5520,5820,5990,6280,6370,6280,6020,6060,6200,6130,5960,6160
1991,6470,6290,6340,6450,6510,6220,6070,5900,5790,5560,5520,5700
1992,5470,5610,5820,6170,6250,5930,6130,6280,6480,6360,6460,6580
1993,6930,6550,6600,7030,6960,6600,6680,6380,6260,6170,6080,6160
1994,5730,5950,6080,6350,6680,6330,6470,6430,6220,6000,6130,5900
1995,6310,5940,5980,6160,6370,6040,6190,6020,5740,5880,5990,5880
1996,5580,5610,5750,5840,6380,6500,6400,6340,6510,6490,6430,6700
1997,6760,6640,7210,7370,7520,7450,7440,7160,6990,6770,6650,6720
1998,6950,6830,7160,7260,7160,7000,6920,6600,6370,6030,5830,5700
1999,5430,5650,5740,5810,5980,5690,5730,5470,5360,5330,5350,5360
2000,5180,4980,5030,5320,5570,5740,5830,5750,5530,5380,5410,5350
2001,5050,5210,5270,5390,5540,5400,5220,5210,5020,5260,5130,5480
2002,5470,5770,5690,5890,6160,6020,5750,5540,5350,5270,5310,5340
2003,5100,4950,5020,5180,5610,5590,5640,5670,5450,5410,5440,5490
2004,5590,5200,5440,5690,5960,6030,6010,5960,5790,5680,5610,5800
2005,6030,6070,6090,6300,6250,6000,5790,5540,5420,5280,5570,5420
2006,5550,5870,5710,5720,5760,5520,5880,5700,5600,5940,5710,6150
2007,6410,5730,5970,5990,6160,5710,5430,5520,5440,5300,5220,5440
2008,5610,5430,6020,6270,6220,5930,6070,5790,5530,5470,5460,5830
2009,5610,5760,6100,6270,6420,6100,6250,6140,5830,5780,5600,5850
2010,5540,5230,5340,5630,5810,5990,5910,5650,5430,5340,5280,5400
2011,5080,4910,5540,5810,6420,6550,6180,6110,5820,6030,6010,6570
2012,6690,6480,6250,6040,5730,5660,5440,5320,5130,5030,5220,5090
2013,5390,5270,5260,5460,5570,5630,5910,5850,5590,5720,5750,5660
2014,5300,5280,5360,5780,6190,6090,6130,6040,6000,6040,6130,5970
2015,5810,5550,5450,5900,6070,6420,6930,6760,6370,6160,6210,5990
2016,6320,6270,6360,6690,6840,6610,6500,6280,6020,5990,6160,6300
2017,6320,6540,6510,6880,7320,7200,7170,6940,6580,6610,6820,6800
2018,6320,6540,6900,7240,7400,7270,7050,6930,6660,6760,6990,6920
2019,6980,6820,6810,7060,7850,8070,7830,7650,7280,7150,7200,7190
2020,7530,7700,7660,7920,7830,7790,7700,7420,7170,7020,7170,7200
