Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual Means,Daily Maximum,Daily Minimum
1984,1640,1978,2069,4444,2916,2492,1964,1435,1306,1245,1925,2054,2119,5568,873
1985,2094,2015,2699,3646,3793,1539,1340,1623,1134,1109,1350,1593,1995,6004,901
1986,1620,1676,1647,3353,2769,2083,1322,1351,1401,1801,1829,1742,1881,4647,988
1987,1683,1563,1910,3111,1176,1201,985,816,771,926,1325,1846,1440,4767,614
1988,1868,1933,1649,3708,2788,1247,915,1176,1268,2289,3457,2251,2042,4665,826
1989,2062,2107,1888,2959,2986,2666,1287,920,854,933,1841,1859,1859,3883,566
1990,1919,2061,2499,3222,2628,1552,1444,1018,897,1829,2180,2829,2006,4562,775
1991,2262,2235,2412,4796,2542,1312,893,778,842,1177,1502,1881,1881,6728,666
1992,1827,1820,1678,3150,2998,1238,1163,1003,1443,1859,2688,2202,1921,5337,806
1993,2169,1883,1493,3746,1784,1873,1070,879,942,1896,2416,2216,1859,5454,733
1994,1718,1947,1814,2840,2572,2187,2186,1705,1133,1122,1670,1790,1889,4600,965
1995,2537,2215,2583,1757,2382,2216,1050,954,699,987,1986,1830,1764,3976,588
1996,2054,2291,2043,3034,4212,1944,1582,1387,1036,1237,1705,1915,2036,5722,876
1997,2016,2160,2270,4094,4693,1876,1497,990,972,1033,1437,1408,2035,6382,798
1998,1589,1554,2290,4687,1396,1107,1177,796,762,819,910,1388,1536,7239,535
1999,1737,1959,1921,3295,1279,1420,1355,880,832,1652,2444,2738,1789,5401,716
2000,2090,2003,2382,2847,2712,1842,1559,1392,1226,1016,1098,1485,1804,4274,617
2001,1449,1657,1518,2872,1756,1439,1016,668,822,1837,2561,2798,1697,4081,552
2002,2185,1970,2354,4171,3951,3691,1858,1105,886,826,900,956,2068,5894,638
2003,1167,1249,1488,2373,1868,1725,1127,1487,1008,1816,3266,3096,1807,4718,788
2004,2470,2040,2289,3217,3865,1936,1875,1091,1255,881,1095,1575,1966,4909,636
2005,1942,1736,1373,4141,2499,1570,993,780,698,1068,1614,2258,1720,4824,532
2006,2201,2308,2468,4144,2444,1568,1427,1360,1201,2591,3377,3299,2364,4587,945
2007,2823,2176,2049,2841,1722,1979,1411,826,720,707,849,1221,1606,3635,566
2008,2513,2243,2140,4783,3228,2027,2318,2182,1472,1323,1793,2085,2341,6052,1036
2009,2336,2220,2550,4193,3358,2244,1951,1886,1169,1349,1916,1936,2258,5617,897
2010,1872,1949,2308,1614,948,789,730,640,981,1896,1867,2711,1524,3922,467
2011,2224,2010,2477,3423,3640,2106,1465,899,832,876,1157,1881,1915,4931,609
2012,1924,1909,3248,2315,1692,987,620,614,703,1223,2052,1843,1593,4810,492
2013,2037,2370,2180,4037,4533,3244,1393,942,992,1440,2745,1980,2319,5421,816
2014,2038,1991,1470,3749,4613,2368,1341,1120,1492,2300,2461,2302,2270,5213,900
2015,2188,2008,1571,2929,2391,1724,1046,989,1057,874,1432,2408,1715,4422,715
2016,2785,2588,3713,4843,3204,1900,1059,932,822,892,978,1582,2105,5833,630
2017,1967,2187,3240,5650,6337,3253,2622,1540,1599,1335,2645,2273,2889,9094,1101
2018,2435,2407,2144,2535,4467,2435,1218,1313,1809,2244,2508,2251,2313,5860,712
2019,2272,2347,2184,5404,7731,3964,1563,828,792,1054,2116,1741,2665,9217,503
2020,2202,2128,2885,4761,2930,2049,1325,1531,1666,2182,2520,2501,2387,5809,1054
2021,2447,2262,2783,2182,1304,836,1413,1049,1089,2006,1839,2087,1774,4779,536
2022,2148,2014,2472,4317,3990,3599,1605,1285,1462,1449,1840,2361,5275,1009,
2023,2717,2458,2219,4867,5013,1556,1492,1600,1382,1866,2568,2233,2497,8015,1065
Mean - Moyenne,1961,1930,2177,3575,3207,2040,1434,1181,1113,1448,1895,1996,1996,9217 (max),306 (min)
